Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CountryCapital,,,,2023-07-28 14:55:44,2023-07-28 14:55:49,4.594s,PASSED
,,,,,,,
Test Cases/TC - GetCountryCode,,,,2023-07-28 14:55:45,2023-07-28 14:55:48,3.271s,PASSED
"response1 = sendRequest(findTestObject(""API Latihan/SOAP/SOAP Service (1)/CountryInfoServiceSoapBinding/CountryISOCode"", [""countryName"":countryName]))",,,,2023-07-28 14:55:45,2023-07-28 14:55:48,2.540s,PASSED
"ctrN = getElementPropertyValue(response1, ""CountryISOCodeResponse.CountryISOCodeResult"")",,,,2023-07-28 14:55:48,2023-07-28 14:55:48,0.180s,PASSED
"println(""value of country code is ; "" + ctrN)",,,,2023-07-28 14:55:48,2023-07-28 14:55:48,0.001s,PASSED
COUNTRY_CODE = ctrN,,,,2023-07-28 14:55:48,2023-07-28 14:55:48,0.111s,PASSED
"println(""Global variable is ; "" + COUNTRY_CODE)",,,,2023-07-28 14:55:48,2023-07-28 14:55:48,0.003s,PASSED
,,,,,,,
Test Cases/TC - GetCapital,,,,2023-07-28 14:55:48,2023-07-28 14:55:49,1.010s,PASSED
"response2 = sendRequest(findTestObject(""API Latihan/SOAP/SOAP Service (1)/CountryInfoServiceSoapBinding/CapitalCity"", [""countryCode"":COUNTRY_CODE]))",,,,2023-07-28 14:55:48,2023-07-28 14:55:49,0.698s,PASSED
"verifyElementText(response2, ""CapitalCityResponse.CapitalCityResult"", ""Washington"")",,,,2023-07-28 14:55:49,2023-07-28 14:55:49,0.047s,PASSED
