Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CountryCapital,,,,2023-07-29 00:06:30,2023-07-29 00:06:34,4.064s,PASSED
,,,,,,,
Test Cases/TC - GetCountryCode,,,,2023-07-29 00:06:30,2023-07-29 00:06:33,2.843s,PASSED
"response1 = sendRequest(findTestObject(""API Latihan/SOAP/SOAP Service (1)/CountryInfoServiceSoapBinding/CountryISOCode"", [""countryName"":countryName]))",,,,2023-07-29 00:06:31,2023-07-29 00:06:33,2.175s,PASSED
"ctrN = getElementPropertyValue(response1, ""CountryISOCodeResponse.CountryISOCodeResult"")",,,,2023-07-29 00:06:33,2023-07-29 00:06:33,0.145s,PASSED
"println(""value of country code is ; "" + ctrN)",,,,2023-07-29 00:06:33,2023-07-29 00:06:33,0.002s,PASSED
COUNTRY_CODE = ctrN,,,,2023-07-29 00:06:33,2023-07-29 00:06:33,0.122s,PASSED
"println(""Global variable is ; "" + COUNTRY_CODE)",,,,2023-07-29 00:06:33,2023-07-29 00:06:33,0.000s,PASSED
,,,,,,,
Test Cases/TC - GetCapital,,,,2023-07-29 00:06:33,2023-07-29 00:06:34,0.870s,PASSED
"response2 = sendRequest(findTestObject(""API Latihan/SOAP/SOAP Service (1)/CountryInfoServiceSoapBinding/CapitalCity"", [""countryCode"":COUNTRY_CODE]))",,,,2023-07-29 00:06:33,2023-07-29 00:06:34,0.561s,PASSED
"verifyElementText(response2, ""CapitalCityResponse.CapitalCityResult"", ""Washington"")",,,,2023-07-29 00:06:34,2023-07-29 00:06:34,0.050s,PASSED
